feature,shap_importance
flag,0.30400857053644487
dst_host_same_srv_rate,0.11320150743637118
level,0.09784779131011649
count,0.024293420047771977
dst_host_serror_rate,0.01121519240187441
service,0.0019820701943520126
srv_serror_rate,0.0
rerror_rate,0.0
dst_host_srv_rerror_rate,0.0
srv_rerror_rate,0.0
dst_host_count,0.0
same_srv_rate,0.0
logged_in,0.0
dst_host_srv_count,0.0
srv_diff_host_rate,0.0
diff_srv_rate,0.0
dst_host_diff_srv_rate,0.0
serror_rate,0.0
dst_host_srv_serror_rate,0.0
dst_host_rerror_rate,0.0
