feature,mean_importance
same_srv_rate,0.0
dst_host_srv_rerror_rate,0.0
srv_rerror_rate,0.0
dst_host_count,0.0
srv_serror_rate,0.0
logged_in,0.0
rerror_rate,0.0
srv_diff_host_rate,0.0
dst_host_rerror_rate,0.0
dst_host_diff_srv_rate,0.0
serror_rate,0.0
dst_host_srv_serror_rate,0.0
dst_host_srv_count,0.0
diff_srv_rate,0.0
service,0.007353655206954695
dst_host_serror_rate,0.03941027090340141
count,0.11399158473083873
level,0.24133317815095956
dst_host_same_srv_rate,0.6485916040970501
flag,0.9086439349741682
